Fertility,Magma_Series,Al,As,Au,Ca,Co,Cr,Cu,Fe,K,Mg,Mn,Na,Ni,P,Pb,S,Sb,Si,Te,Ti,V,W,Y,Zn
1,CA,37200,2,0,105500,102,2050,38.8,64800,3000,78900,1960,16100,1385,100,3.8,200,0.78,,0,2060,151,0.1,7.3,88
1,CA,66100,3.4,0.001,38300,51.3,694,58.3,60800,2600,32100,1240,27400,511,310,1.3,1500,0.76,,0,2330,202,0.5,7.4,113
1,CA,42400,256,0.009,104500,88,1940,60.7,72000,15300,62000,2420,1600,1140,90,54.1,1000,4.59,,0,980,197,1.5,8.9,252
1,CA,22000,15.1,0.004,112000,68.4,1240,31.9,54200,300,97900,1780,500,1020,80,2.1,0,2.24,,0,290,92,0.2,4.3,64
1,CA,28500,1050,0.039,117000,82.3,1780,46.5,57700,5500,87900,1700,3000,1285,40,1.3,1200,11.7,,0.08,390,119,0.8,5.2,57
1,CA,67200,73.5,0.005,59600,40.5,20,77.2,91700,12000,20300,2130,16300,43,630,1.7,1300,1.07,,0,9090,427,10.3,15.6,71
1,CA,47300,384,0.004,60500,100.5,2490,80.6,81100,8100,44700,2700,6600,940,150,0,200,13.4,,0.05,1200,197,1.9,3.5,89
1,CA,45400,138.5,0.017,64700,83.1,2940,60.5,129000,4600,44800,5030,100,804,130,0.9,100,11.65,,0,1100,188,1.6,3.1,100
1,CA,69400,53.8,0.005,33100,27.8,16,12.3,99100,4400,14500,2080,29200,21.7,780,0.7,600,1.74,,0,6900,253,2.2,13.5,188
1,CA,30600,1075,0.02,107500,77.9,1540,12.5,57700,100,96400,2110,200,1175,10,2.4,200,25.1,,0,300,125,0.5,5.7,94
1,CA,29300,1430,0.018,137500,62.2,1400,29.1,62900,12700,47300,3290,2500,836,150,1,100,25.1,,0.05,680,131,1.6,6.4,63
1,CA,62800,68.4,0.002,49700,43.8,13,81,120500,1100,25700,2600,16500,41.2,520,1.2,1000,1.38,,0,8540,416,1.2,10.7,142
1,CA,64700,53.7,0.009,35300,42.1,8,81.2,116000,700,26700,1860,17000,44.3,580,2.6,700,1.63,,0,8920,424,1.9,10.9,147
1,CA,67000,139,0.004,37800,42.1,10,62.1,70200,10100,22600,1600,24800,35.3,590,2.7,2100,3.52,,0,9570,425,8.6,10.9,107
1,CA,67300,48.8,0.012,11200,24.6,9,311,71200,300,46500,385,23900,43.4,620,1.6,700,1.2,,0,5920,501,6.4,7.6,111
1,CA,66900,85.9,0.005,46400,40.1,9,95.1,99900,3000,26200,1870,21300,38.3,570,1.8,2500,1.39,,0,7180,447,7.6,10.2,131
0,CA,17600,61.6,0.002,193500,64.1,1200,29.9,39600,4100,39000,2310,700,883,50,1.5,700,0.89,,0,470,75,0.4,4.8,41
0,CA,30400,99.6,0.01,115500,48,788,52.1,53500,10500,63100,2630,3000,586,200,5.7,1300,4.99,,0,810,138,1.3,7,54
0,CA,35400,203,0.009,104000,62.3,1160,58.4,68500,3300,80800,2350,1700,905,360,3.5,400,3.4,,0.05,760,169,0.8,7.4,88
1,CA,33300,290,0.011,86700,55.6,1100,83.3,67200,100,85900,1840,100,813,2650,4.8,500,11,,0,750,153,0.8,14.2,98
1,CA,32300,326,0.063,114000,67,1270,33.9,59700,9600,55700,2240,5100,944,120,2.5,1800,22.9,,0,630,140,1.1,6.1,56
1,CA,40700,581,0.032,125000,48.2,787,68.4,67500,1300,65500,2510,3500,656,3770,1.1,200,8.81,,0,900,127,1.9,8.6,53
1,CA,37800,54.2,0.002,69100,95.5,2510,66.8,89200,1400,47900,3670,6200,1005,180,0.5,100,0.54,,0,670,155,0.8,4,83
1,CA,71400,22,0.003,43300,37.7,21,87.4,68700,2600,21600,1560,32000,48.2,680,2.2,1700,1.19,,0,9990,458,4.5,9.2,105
1,CA,70200,17,0,29900,41.4,11,80.3,71800,300,20900,1120,34100,70.6,640,1.1,6900,0.6,,0,7990,453,1.4,8.6,105
1,CA,47300,47.8,0.001,83200,66.4,1070,63.3,71600,900,45900,2420,19000,773,330,1.4,2200,0.72,,0,3120,216,0.5,8,115
1,CA,29700,256,0.011,124000,61.5,1670,57.4,69300,10600,60700,2090,3200,897,110,0.9,1600,11.85,,0,920,146,0.7,6.2,54
1,CA,39900,247,0.011,98800,32.1,426,41.3,57300,700,47400,2280,26800,324,230,1.1,1300,12.8,,0,3340,163,3.1,6.5,49
1,CA,72200,65.5,0.003,44900,41.2,13,78.4,115500,7300,27400,3180,19300,42.8,660,1.5,1100,2.49,,0,8610,473,5.6,9.2,146
1,CA,32100,482,0.006,117500,93.1,1780,49.5,73800,100,81800,2380,200,1270,30,9.2,900,4.38,,0.06,980,150,2.5,5.5,98
1,CA,12900,87.7,0.003,39300,28.7,779,5.8,32900,200,35600,846,700,398,10,1.2,0,2.29,,0,150,53,0.2,2.6,36
1,CA,30600,5.1,0.006,91400,97,2060,45.4,75700,700,41600,6160,3700,1280,110,0.9,600,0.55,,0.05,1110,131,0.2,4.5,70
1,CA,77200,24.7,0,25200,38.6,13,14.9,99400,1500,23300,2060,28000,26.4,850,1,2100,1.83,,0,8250,317,1.5,15.1,178
1,CA,79700,88,0.081,1800,51.2,45,167.5,124500,16200,23800,728,15400,151.5,580,29,47900,23.3,,0.47,2380,377,0.6,8.2,491
1,CA,29600,500,0.012,28100,74.6,1470,35.9,66100,2200,125500,1200,3900,1225,50,1.8,200,29.6,,0.09,910,118,3.1,2.9,81
1,CA,10400,1160,0.034,40700,68.2,715,15.6,40900,4500,147500,644,200,1420,10,1.8,100,19.35,,0.26,280,46,3.5,2.3,48
1,CA,5000,749,0.139,4600,36.4,485,8.7,30700,2000,94300,407,200,738,0,1.8,0,11.6,,0.15,100,24,1.2,0.8,25
0,CA,29000,8.2,0.025,24900,87.9,1610,19.2,64700,0,138500,928,0,1425,40,1.6,1900,2.32,,0,520,117,0.9,1.2,66
0,CA,10100,703,0.038,23400,51.6,522,10.2,41600,300,152000,924,2400,1040,10,2.1,0,11.55,,0.16,180,48,1.7,1.7,43
0,CA,23900,93,0.023,97900,68.5,1200,42.4,53900,0,85000,1330,0,933,50,0,300,3.57,,0,830,101,0.6,4.2,34
0,CA,25900,626,0.038,122000,79,1700,43.3,55800,5900,59100,2130,9000,1115,80,0.6,1000,80.6,,0.05,410,110,1.1,5.2,36
0,CA,28100,31.1,0.003,67200,91.2,1420,36.3,66500,100,118000,1360,200,1495,70,4.6,100,2.15,,0,1090,114,0.5,4.7,78
0,CA,27800,140,0.004,111000,80.9,1590,43.9,54600,3500,55200,2400,13100,1035,80,0.7,900,8.25,,0,700,120,1.1,4.4,54
0,CA,20300,17.8,0.016,72300,44.6,1090,34.3,45100,200,44300,2430,6300,527,140,1.9,1200,0.36,,0,340,72,0.5,4.3,44
0,CA,24900,10.8,0.003,135000,50.6,1210,16.7,51400,200,88600,3920,7100,666,80,2.2,200,13.85,,0,860,108,2.3,5.4,48
0,CA,19600,73.7,0.006,126000,51.2,919,39.1,53600,100,81600,2190,100,732,70,0.8,0,1.28,,0,1110,79,1.6,4.3,55
0,CA,27800,812,0.05,108000,69.3,1440,35.1,64400,7300,52800,2190,5800,803,160,1.5,2000,33.5,,0.06,500,160,1.3,4.9,48
1,CA,58800,9.8,0.001,54000,35.4,15,80.4,103000,400,23800,2750,21800,33.4,530,1.4,600,1.02,,0,7300,362,2,10.5,128
1,CA,19600,110.5,0.045,116500,55.3,962,33.6,58300,100,86200,2220,200,773,140,1.3,100,0.94,,0,200,82,0.2,5.3,52
1,CA,41300,46.4,0.003,48700,92.9,1610,67.8,80700,300,104000,1410,3200,883,140,2.6,100,0.44,,0,330,177,0.2,3.8,139
1,CA,43300,7.6,0.003,103000,105,2470,66.2,63900,7400,28300,3130,25500,738,120,1.1,600,0.37,,0,2810,189,0.2,12.2,95
1,CA,68200,28.1,0.001,82600,24.1,133,17.8,31300,7700,14700,1090,37100,97,1490,2.8,0,0.64,,0,3780,104,22.2,32.7,42
